Sr.no|title|content|author|image url|news url|label
1|Fact Check: BBC has not called Left rally in Kolkata the world’s largest political gathering|AFWA has found the claim to be false. In fact, BBC had not even covered Sunday’s Brigade Parade Ground event. |Arpit Basu India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202103/PTI02_28_2021_000127B_IT_16145_1200x768.jpeg?LMP.qztxH3t0f6ZF2M7iJVtOiZlD9BIN&size=770:433|https://www.indiatoday.in//fact-check/story/fact-check-bbc-has-not-called-left-rally-in-kolkata-the-world-s-largest-political-gathering-1774746-2021-03-02|1
2|Fact Check: Two-year-old Left Front rally in Kolkata shared as Feb 28 gathering|This image of a sea of people is going viral on social media with the claim that is from Sunday’s joint rally of Left Front and Congress in Kolkata’s Brigade Parade Ground ahead of the 2021 Bengal assembly elections. India Today's AFWA probes the truth.|Chayan Kundu India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202102/cover-pic_770_0_1200x768.jpeg?hX2jmt24P5cZ2QN1a4GTUyL720NfHZ6n&size=770:433|https://www.indiatoday.in//fact-check/story/fact-check-two-year-old-left-front-rally-in-kolkata-shared-as-feb-28-gathering-1774042-2021-02-28|0
3|Fact Check: No, it’s not mandatory for users to verify their social media accounts within 3 months|A viral post on social media claims that in accordance with the new guidelines, within three months, all social media accounts need to be verified with a government ID. However, the government has only asked the social media platforms to provide an appropriate mechanism for users who wish to verify their accounts voluntarily.|Dheeshma Puzhakkal India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202102/Cover_Image_3_1200x768.jpeg?eTLAJi0ZRLhWAEHtc2OLEU1jSekITwbz&size=770:433|https://www.indiatoday.in//fact-check/story/not-mandatory-for-users-to-verify-their-social-media-accounts-within-3-months-1773816-2021-02-27|1
4|Fact Check: Know the real story behind this vintage spring wheel bicycle|An image of a vintage bicycle with unique spring wheels and a rifle attached to it is viral with the claim that it is from the British period. India Today Anti-Fake News War Room (AFWA) has found that this is a German bicycle that was used in World War I.|Chayan Kundu India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202102/Untitled-1_2_1200x768.jpeg?6ycNzmBF5WiO0KgWpaFcbvSoPZ_a4.oa&size=770:433|https://www.indiatoday.in//fact-check/story/know-real-story-vintage-spring-wheel-bicycle-british-world-war-1773714-2021-02-27|1
5|Fact Check: No, the Indian national flag is not banned inside Gujarat's Narendra Modi Stadium |A video showing a group of cricket fans alleging that they were not allowed to take the Indian national flag inside the Motera Stadium is viral on social media. It is being said that the Tricolour has been banned in the stadium which is named after the PM.  |Dheeshma Puzhakkal India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202102/Leadimage01_1200x768.jpeg?Pfey85J3PqQ6hJc_mbpUOFgF477fuNhw&size=770:433|https://www.indiatoday.in//fact-check/story/no-the-indian-national-flag-is-not-banned-inside-gujarat-narendra-modi-stadium-1773592-2021-02-26|0
6|Fact Check: Viral image of petrol bill asking not to vote for PM Modi is fake|An image of a petrol bill purportedly by an 'HPL' dealer named Sai Balaji Petroleum in Mumbai’s Vikhroli is viral on social media. The text along with the image asks readers to not vote for Prime Minister Narendra Modi the next time if they want reduced petrol prices.|Dheeshma Puzhakkal India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202102/Cover_1_1200x768.jpeg?65zfp9k8UUMOGKhxqbnTdCl4jd4cgn9V&size=770:433|https://www.indiatoday.in//fact-check/story/fact-check-viral-image-of-petrol-bill-asking-not-to-vote-for-pm-modi-is-fake-1773371-2021-02-26|1
7|Fact Check: Five-year-old picture of unrest passed off as recent clashes in Srinagar|A picture of masked youths pelting stones started circulating on social media with the claim that clashes erupted at Srinagar’s Batmaloo area during a cordon and search operation (CASO) recently. India Today's AFWA probes the truth.|Arjun Deodia India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202102/cover_pic_4_1200x768.jpeg?AS49NWUIeRFvktnQIYMF68njgyRIDNZU&size=770:433|https://www.indiatoday.in//fact-check/story/fact-check-five-year-old-picture-of-unrest-passed-off-as-recent-clashes-in-srinagar-1773155-2021-02-25|0
8|Fact Check: 2018 video of Varanasi flyover collapse shared with misleading claims|A short clip showing several vehicles with passengers inside crushed under a concrete slab is circulating on social media with different claims. While some say the video was taken after the under-construction Balanagar-Jeedimetla flyover in Hyderabad collapsed, others say it is a recent incident from Uttar Pradesh.|Dheeshma Puzhakkal India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202102/cover_pic_3_1200x768.jpeg?FymJrHqe3rFEEJa_TPab.KR2CJo0JOpL&size=770:433|https://www.indiatoday.in//fact-check/story/fact-check-2018-video-of-varanasi-flyover-collapse-shared-with-misleading-claims-1772670-2021-02-24|1
9|Fact Check: Viral video of Meerut man spitting on rotis shared as incident from Hyderabad|A disturbing video shows a man spitting on rotis while cooking at Red Rose Palace function hall in Hyderabad’s Nampally area.|Dheeshma Puzhakkal India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202102/cover_pic__3__1200x768.jpeg?yCv2PkRC3P4mb5uS4sZmMa1IjJnMAX.O&size=770:433|https://www.indiatoday.in//fact-check/story/fact-check-viral-video-of-meerut-man-spitting-on-rotis-shared-as-incident-from-hyderabad-1772329-2021-02-24|0
10|Fact Check: This video of BJP workers attacking a house is not from Bengal|The viral video of BJP workers pelting stones and furniture at a house is not from Bengal, but Telangana.|Chayan Kundu India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202102/cover_pic__2__0_1200x768.png?pgD4ruG2.vv8exLMG8baPmUpusus3nIr&size=770:433|https://www.indiatoday.in//fact-check/story/fact-check-this-video-of-bjp-workers-attacking-a-house-is-not-from-bengal-1771892-2021-02-22|0
