Sr.no|title|content|author|image url|news url|label
1|Fact Check: Old image of mob attack victim painted in Love-Jihad hues|An image showing a Hindu woman with injury marks on her face is viral on social media with the claim that she was subjected to domestic violence by her Muslim husband.|Dheeshma Puzhakkal India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/Pic_1_1200x768.png?4SCDiN9iKS25y4J3ZaiiI0Wxj9Vwy5nj&size=770:433|https://www.indiatoday.in//fact-check/story/fact-check-old-image-mob-attack-victim-painted-love-jihad-hues-1718616-2020-09-04|1
2|Fact Check: Did burqa replace Khaki for an IPS officer in Maharashtra?|A picture of a girl in hijab seated behind a desk and surrounded by men in uniform, with a Maharashtra Police board behind, is circulating on social media with the claim that the first Muslim woman IPS officer from Urdu medium joined office in a burqa, thus violating the force’s dress code.|Chayan Kundu India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/cover_pic_1__1200x768.png?b408Kil.UJfuoSgmMhYr5gb.2KJVpSIz&size=770:433|https://www.indiatoday.in//fact-check/story/fact-check-did-burqa-replace-khakhi-for-an-ips-officer-in-maharashtra-1718392-2020-09-03|1
3| Fact Check: The curious case of a 'desecrated' Kali idol in a Bengal temple|Several pictures of a burnt idol of Goddess Kali are circulating on social media with the claim that hooligans from the Muslim community were behind the act in West Bengal's Murshidabad district.|Jyoti Dwivedi India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/cover_image_1_.jpeg?xz1XVL6hdOpUXKrRN7ptRuk3jbU0EcRO&size=770:433|https://www.indiatoday.in//fact-check/story/fact-check-the-curious-case-of-a-desecrated-kali-idol-in-a-bengal-temple-1718010-2020-09-03|0
4|Fact Check: Netizens walk down the aisle of communal hatred over Pak child marriage|A picture of a minor girl in bridal wear sitting beside a middle-aged man has gone viral on social media with communally-charged claims.|Chayan Kundu India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/cover_pic_1_0.png?HLYtAp_ZT17CQ56IWfgUM7ZMOxcpzgnX&size=770:433|https://www.indiatoday.in//fact-check/story/fact-check-netizens-walk-down-the-aisle-of-communal-hatred-over-pak-child-marriage-1718007-2020-09-02|0
5|Fact Check: Egypt pipeline fire goes viral as scenes from Sweden riots |Video of thick plumes of smoke billowing from a massive fire is circulating on social media with accompanying claims giving an impression that this is what Muslims did during the riots in Sweden. India Today Anti Fake News War Room (AFWA) has found the post to be misleading.|Arjun Deodia India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/swedenriots.jpeg?nRhZvkW.Aeyh4RkLzMjsd2MnFnhPaP8y&size=770:433|https://www.indiatoday.in//fact-check/story/egypt-pipeline-fire-sweden-riots-fact-check-1717826-2020-09-02|1
6|Fact Check: Did Muslims in Switzerland demand removal of Swiss cross from the flag?|Amid riots in Sweden, an image purportedly showing Muslim refugees in Switzerland burning the Swiss flag went viral on social media with the claim that the men were demanding the cross be removed from the Swiss flag.|Dheeshma Puzhakkal India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/flagburning.jpeg?ZtFGWk.rDfJi1gcZqNMwVIKMLRLpbEbi&size=770:433|https://www.indiatoday.in//fact-check/story/fact-check-did-muslims-in-switzerland-demand-removal-of-swiss-cross-from-the-flag-1717563-2020-09-01|1
7|Fact Check: Afzal Guru at peace over Pranab’s death? That’s a fake Rana Ayyub tweet|According to a screenshot circulating on social media, journalist Rana Ayyub has tweeted that “martyr” Afzal Guru will now feel at peace after the demise of former President Pranab Mukherjee who’d rejected his mercy plea.|Chayan Kundu India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/cover_pic_0.png?9MCmhBDoKTt8jCeC9wAFVF4N7YN4NKpw&size=770:433|https://www.indiatoday.in//fact-check/story/fact-check-afzal-guru-at-peace-over-pranab-s-death-that-s-a-fake-rana-ayyub-tweet-1717555-2020-09-01|1
8|Fact Check: No, this Chennai cop was not beaten by Muslim men|A picture of a car burning on the roadside is circulating on social media linking it to the recent violence in Norway.|Dheeshma Puzhakkal India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/Untitled-1__7_.jpeg?.wxPXGP9XG.y0aiTEoDWXTFFR2qOENKi&size=770:433|https://www.indiatoday.in//fact-check/story/fact-check-no-this-chennai-cop-was-not-beaten-by-muslim-men-1717339-2020-09-01|1
9|Fact Check: Scene of arson at 'Black Lives Matter' protest goes viral as Norway riots|A picture of a car burning on the roadside is circulating on social media linking it to the recent violence in Norway.|Chayan Kundu India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/pic_1_0.jpeg?jwp6bxlvTkzPR5lRACPOVne5n8f5vATO&size=770:433|https://www.indiatoday.in//fact-check/story/fact-check-scene-of-arson-at-black-lives-matter-protest-goes-viral-as-norway-riots-1717233-2020-09-01|1
10|Fact Check: These women were not injured in the Sweden riots|Amid violence in Swedish city of Malmo, a collage of 16 pictures showing badly injured faces of some women are circulating on Twitter with the claim that this is what the immigrants did to Swedish women during the riots. India Today Anti Fake News War Room (AFWA) has found that the women’s mugshots are not related to the Sweden riots.|Arjun Deodia India Today|https://akm-img-a-in.tosshub.com/indiatoday/images/story/202008/thumbnail_1_0.png?V5oRwbQTOcYnAkyOZU86Z2Nf_PurSd2N&size=770:433|https://www.indiatoday.in//fact-check/story/malmo-women-not-injured-sweden-riots-1716745-2020-08-30|1
